Census_Tract,Black Total Mortality,White Total Mortality,Total Mortality,Alzheimer's disease,Cancer,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes,Flu and pneumonia,Heart disease,Homicide,Septicemia,Stroke,Suicide,Unintentional injuries
42003452000,6,205,211,9,51,0,10,0,0,53,0,5,16,0,9
42003453003,0,132,132,0,21,0,10,0,0,47,0,0,5,0,8
42003453004,7,182,189,0,38,8,12,0,0,38,0,0,10,0,18
42003455000,0,87,88,0,23,0,0,0,0,23,0,0,0,0,6
42003456001,0,112,113,0,34,0,7,0,0,27,0,0,0,0,10
42003456003,0,198,199,0,48,5,18,6,5,47,0,0,9,0,7
42003456004,0,468,471,25,59,0,25,6,18,104,0,0,17,0,22
42003457100,0,94,96,0,20,0,5,0,0,21,0,0,0,0,9
42003457200,16,259,275,12,57,0,18,6,10,60,0,0,18,0,17
42003458000,0,409,413,12,100,6,24,6,9,99,0,6,23,8,15
42003459101,0,73,74,0,24,0,0,0,0,17,0,0,0,0,5
42003459102,6,227,233,6,55,0,7,0,11,52,0,0,11,0,16
42003459201,7,309,316,11,70,0,15,9,6,86,0,0,15,0,20
42003459202,0,19,19,0,7,0,0,0,0,0,0,0,0,0,0
42003460001,0,324,327,15,68,0,18,7,8,74,0,6,10,0,13
42003460002,0,239,243,10,54,0,10,9,7,65,0,0,12,0,22
42003461000,0,78,79,0,16,0,5,0,0,22,0,0,6,0,0
42003462100,11,167,178,0,38,0,8,5,0,47,0,0,6,0,15
42003462600,39,208,247,0,61,6,7,5,0,61,6,0,7,0,32
42003463900,28,165,193,0,38,0,16,0,0,44,7,0,0,0,27
42003464300,11,160,171,0,40,0,12,0,0,27,0,5,8,0,14
42003464400,49,210,259,0,53,9,11,0,0,69,6,6,7,0,28
42003465600,10,150,160,0,37,0,10,0,5,41,0,0,13,0,12
42003465800,0,157,157,0,43,0,7,0,6,28,0,0,7,0,15
42003468700,6,97,103,6,15,0,8,0,5,30,0,0,5,0,7
42003468800,0,144,147,0,31,0,9,0,0,42,0,0,6,0,18
42003468900,22,218,240,5,49,0,12,0,7,70,0,0,12,6,16
42003469000,0,235,240,6,57,0,16,0,7,46,0,6,11,0,15
42003470300,7,499,506,67,84,5,31,10,8,127,0,0,21,0,6
42003470400,0,186,186,7,38,0,9,0,0,60,0,0,12,0,10
42003470501,0,92,93,0,22,0,0,0,0,23,0,0,5,0,5
42003470502,0,233,237,9,42,0,14,0,0,62,0,0,19,0,11
42003470600,0,188,190,7,51,9,0,5,0,47,0,0,8,0,29
42003471000,0,77,79,0,11,0,8,0,0,21,0,0,5,0,0
42003472100,0,86,88,0,21,0,0,0,0,18,0,0,6,0,12
42003472200,0,82,83,0,14,0,5,0,0,21,0,0,5,0,8
42003472300,0,76,77,0,28,0,0,0,0,16,0,0,0,0,8
42003472400,0,78,78,0,16,0,6,0,0,24,0,0,0,0,0
42003473100,0,169,171,5,41,0,5,9,5,39,0,0,10,5,13
42003473200,0,120,121,0,30,0,7,0,0,32,0,0,7,0,0
42003473300,0,403,403,32,60,0,26,11,8,116,0,0,21,0,20
42003473401,0,104,108,9,20,0,8,0,0,25,0,0,5,0,8
42003473402,0,141,141,6,31,0,9,0,0,27,0,0,8,0,9
42003473500,6,135,141,9,32,0,6,0,0,32,0,0,8,0,5
42003473601,0,357,358,42,45,0,16,7,9,97,0,0,16,0,19
42003473602,0,336,338,16,68,0,19,0,9,90,0,0,17,0,8
42003474101,0,117,119,0,29,0,0,0,0,24,0,0,6,0,7
42003474102,0,233,233,9,44,0,12,6,7,68,0,0,9,0,14
42003474201,0,76,77,0,14,0,0,0,0,15,0,0,11,0,5
42003474202,0,404,407,34,63,0,18,0,17,82,0,0,25,0,27
42003474203,0,118,119,7,25,0,0,6,0,27,0,0,11,0,0
42003475101,7,414,421,24,84,0,23,12,13,109,0,5,25,0,17
42003475102,0,78,78,0,21,0,0,0,0,24,0,0,0,0,0
42003475200,0,220,221,10,45,0,10,6,9,57,0,0,12,0,11
42003475301,8,265,273,9,62,0,11,0,13,61,0,0,6,6,20
42003475303,0,199,200,8,35,0,6,5,0,58,0,7,10,0,7
42003475304,0,208,212,14,46,0,13,0,6,47,0,0,13,0,7
42003475401,0,259,260,10,44,0,15,8,13,60,0,5,19,0,13
42003475402,0,128,129,5,34,0,9,0,0,28,0,0,7,0,0
42003476100,0,245,249,9,41,0,11,6,0,72,0,0,9,0,26
42003476200,0,185,187,6,44,0,7,0,0,55,0,0,10,0,7
42003477100,0,238,239,10,50,0,12,0,8,63,0,0,7,0,11
42003477200,0,357,361,12,92,0,18,0,8,99,0,8,12,0,12
42003477300,6,256,262,8,64,0,14,9,0,67,0,0,8,0,18
42003478100,0,212,216,5,39,0,14,11,0,50,0,6,9,0,14
42003478200,0,258,261,10,56,0,12,8,7,66,0,10,11,6,20
42003479000,0,110,110,0,32,0,5,0,0,28,0,0,7,0,12
42003480101,15,303,318,6,60,0,21,13,9,74,0,5,13,0,20
42003480102,0,176,180,5,41,0,8,5,8,40,0,0,11,0,6
42003480200,6,212,218,7,51,0,13,9,0,49,0,0,14,0,12
42003480300,0,196,196,7,43,0,14,5,0,50,0,5,8,0,8
42003480400,0,321,326,8,63,6,21,10,0,90,0,6,10,7,21
42003481000,49,145,194,5,41,0,6,0,0,48,5,0,10,0,22
42003482500,18,143,161,8,34,0,7,8,0,34,0,6,11,0,7
42003483800,103,106,209,0,55,5,8,5,0,47,0,0,0,0,14
42003484300,24,183,207,7,35,0,10,0,8,47,5,0,12,0,21
42003484500,0,377,380,13,88,6,16,11,5,100,0,6,21,0,27
42003484600,12,137,149,6,40,0,8,6,0,26,0,0,8,0,7
42003485000,0,68,73,0,14,0,0,0,0,23,0,0,0,0,0
42003486700,57,89,146,0,21,0,9,0,0,41,0,0,0,0,10
42003486800,56,58,114,0,23,0,5,5,0,36,0,0,6,0,8
42003486900,34,49,83,0,18,0,0,0,0,17,0,0,0,0,10
42003487000,0,123,126,0,38,0,5,5,0,35,0,0,0,0,5
42003488100,37,121,158,6,27,0,8,5,5,47,0,0,7,0,6
42003488200,30,193,223,6,44,0,0,14,10,64,0,0,10,0,13
42003488300,0,129,129,6,30,0,5,0,0,31,0,0,0,0,9
42003488400,26,274,300,0,67,0,11,6,9,95,0,0,15,0,22
42003488500,0,157,160,0,39,0,12,0,0,35,0,0,7,0,8
42003488600,10,328,338,13,72,0,13,8,7,88,0,6,19,0,25
